,url
60,b'https://banen.monsterboard.nl/internship-hr-data-analytics-zoetermeer-nl-zoetermeer-nl-danone/f39ebba1-7aad-480a-9c48-03b6a64e53cd'
61,b'https://banen.monsterboard.nl/it-informatie-analist-heerlen-li-nl-cbs-centraal-bureau-voor-de-statistiek/6f1b6e12-dcd5-4b63-95b4-a82b06ee2d93'
62,b'https://banen.monsterboard.nl/junior-analyst-revenue-reporting-analysis-den-haag-zh-nl-ses/d111bebf-987a-4de4-81e7-0b870d569ab3'
63,b'https://banen.monsterboard.nl/junior-data-analist-business-intelligence-specialist-velserbroek-nh-nl-boval-groep/449204dc-3211-429f-8cc4-1e9727e5f7ba'
64,b'https://banen.monsterboard.nl/junior-data-analist-doetinchem-ge-nl-dtc-media-opm/a5b7ffe2-4e35-4537-ba82-8f9ebad825ee'
65,b'https://banen.monsterboard.nl/junior-data-analist-dordrecht-dordrecht-zh-nl-engie-nederland/222165058'
66,b'https://banen.monsterboard.nl/junior-finance-risk-data-analist-internationaal-utrecht-ut-nl-joust-b-v/3da09358-7486-4b88-aa24-82ace7027a74'
67,b'https://banen.monsterboard.nl/junior-finance-risk-data-analist-\xe2\x80\x93-utrecht-utrecht-ut-nl-young-financials/73912575-0d30-4eb6-97cb-6f1cca5cb159'
68,b'https://banen.monsterboard.nl/junior-financial-data-analist-amsterdam-nh-nl-joust-b-v/cccf1ab4-5366-4590-b78b-866c66b97299'
69,b'https://banen.monsterboard.nl/labeling-specialist-data-analist-alkmaar-nh-nl-page-personnel/221822379'
70,b'https://banen.monsterboard.nl/lead-business-analist-forecasting-rotterdam-zh-nl-coolblue/221814816'
71,b'https://banen.monsterboard.nl/logistiek-data-analist-den-haag-zh-nl-postnl/222364237'
72,b'https://banen.monsterboard.nl/markt-analist-data-analist-business-analist-wormer-nh-nl-van-til-recruitment/222140714'
73,b'https://banen.monsterboard.nl/master-data-junior-analyst-amsterdam-nl-stryker/3af25756-57a1-4f3d-9345-03bfd7773e69'
